Ministry of Finance and Economic Planning (Sudan),,https://mof.gov.sd/en/home/,green_verified,Finance ministry site live; no careers page amid conflict disruption,false,no_url,Sudan,DEPT,https://mof.gov.sd/en/home/
Federal Ministry of Health (Sudan),,https://www.fmoh.gov.sd/,grey_none_verified,Health ministry site unreachable this session likely conflict disruption,false,no_url,Sudan,DEPT,https://www.fmoh.gov.sd/
Central Bank of Sudan,,https://cbos.gov.sd/en/careers,green_verified,Central bank careers page live; no open vacancies currently,true,pending,Sudan,DEPT,https://cbos.gov.sd
Sudan Airways,,https://www.sudanair.com,grey_none_verified,National airline; site rate-limited unverified amid civil war impact,false,no_url,Sudan,SOE,https://www.sudanair.com
Sudatel Telecom Group,,https://www.sudatel.sd/en/careers/,green_verified,State-linked telecom group; careers page verified working,true,pending,Sudan,SOE,https://www.sudatel.sd
Bank of Khartoum,,https://bokhr.bok-sd.com/MenaITech/OnlineApp/OnlineApplication/bok/hq/1,amber_company_route,Largest Sudanese bank; career portal found redirect errors this session,true,pending,Sudan,PRIVATE,https://bankofkhartoum.com
Faisal Islamic Bank Sudan,,https://www.fibsudan.com,green_verified,Islamic bank; homepage live no dedicated careers page found,false,no_url,Sudan,PRIVATE,https://www.fibsudan.com
Zain Sudan,,https://www.sd.zain.com/en/zain-careers,amber_company_route,Major telecom; careers nav found page content unverified,true,pending,Sudan,PRIVATE,https://www.sd.zain.com
DAL Group,,https://www.dalgroup.com,amber_company_route,Sudan's largest conglomerate; careers section seen exact URL unconfirmed,false,no_url,Sudan,PRIVATE,https://www.dalgroup.com
WFP Sudan,,https://www.wfp.org/careers,green_verified,UN food agency; major Sudan famine response ongoing,true,pending,Sudan,NGO,https://www.wfp.org
UNHCR Sudan,,https://www.unhcr.org/careers,amber_company_route,Refugee agency; Khartoum office relocated to Port Sudan,true,pending,Sudan,NGO,https://www.unhcr.org
UNDP Sudan,,https://www.undp.org/sudan/jobs,green_verified,UN development agency; dedicated Sudan jobs page verified,true,pending,Sudan,NGO,https://www.undp.org/sudan
WHO Sudan,,https://www.who.int/careers,green_verified,Health agency; Sudan listed as active emergency response,true,pending,Sudan,NGO,https://www.emro.who.int/countries/sdn/index.html
Plan International Sudan,,https://jobs.plan-international.org/,green_verified,Child rights NGO; global portal no Sudan filter confirmed,true,pending,Sudan,NGO,https://plan-international.org/sudan/
CRS Sudan (Catholic Relief Services),,https://www.crs.org/about-us/careers,green_verified,Catholic humanitarian NGO; Sudan office referenced careers portal global,true,pending,Sudan,NGO,https://www.crs.org/where-we-work/africa/sudan
